DT,Home,Away,Home_points,Away_points,season,country,league
2023-03-05 16:30:00,Kometa Brno,Sparta Prague,5.0,2.0,2022-2023,czech-republic,extraliga
2023-03-05 16:30:00,Liberec,Vitkovice,2.0,1.0,2022-2023,czech-republic,extraliga
2023-03-05 16:30:00,Litvinov,Olomouc,5.0,1.0,2022-2023,czech-republic,extraliga
2023-03-05 16:30:00,Mountfield HK,Pardubice,3.0,1.0,2022-2023,czech-republic,extraliga
2023-03-05 16:30:00,Plzen,Ceske Budejovice,3.0,5.0,2022-2023,czech-republic,extraliga
2023-03-05 16:30:00,Trinec,Mlada Boleslav,2.0,3.0,2022-2023,czech-republic,extraliga
2023-03-03 18:00:00,Ceske Budejovice,Kladno,5.0,2.0,2022-2023,czech-republic,extraliga
2023-03-03 18:00:00,Karlovy Vary,Liberec,3.0,4.0,2022-2023,czech-republic,extraliga
2023-03-03 18:00:00,Mlada Boleslav,Plzen,4.0,2.0,2022-2023,czech-republic,extraliga
2023-03-03 18:00:00,Olomouc,Trinec,0.0,5.0,2022-2023,czech-republic,extraliga
2023-03-03 18:00:00,Pardubice,Litvinov,2.0,3.0,2022-2023,czech-republic,extraliga
2023-03-03 18:00:00,Sparta Prague,Mountfield HK,3.0,2.0,2022-2023,czech-republic,extraliga
2023-03-03 18:00:00,Vitkovice,Kometa Brno,5.0,2.0,2022-2023,czech-republic,extraliga
2023-02-28 18:30:00,Sparta Prague,Olomouc,1.0,2.0,2022-2023,czech-republic,extraliga
2023-02-28 18:00:00,Liberec,Pardubice,5.0,1.0,2022-2023,czech-republic,extraliga
2023-02-26 17:00:00,Kometa Brno,Olomouc,3.0,0.0,2022-2023,czech-republic,extraliga
2023-02-26 16:20:00,Karlovy Vary,Ceske Budejovice,5.0,1.0,2022-2023,czech-republic,extraliga
2023-02-26 16:00:00,Kladno,Vitkovice,1.0,2.0,2022-2023,czech-republic,extraliga
2023-02-26 16:00:00,Mountfield HK,Mlada Boleslav,3.0,4.0,2022-2023,czech-republic,extraliga
2023-02-26 16:00:00,Sparta Prague,Trinec,4.0,2.0,2022-2023,czech-republic,extraliga
2023-02-26 15:30:00,Litvinov,Plzen,2.0,1.0,2022-2023,czech-republic,extraliga
2023-02-24 18:00:00,Kladno,Sparta Prague,3.0,4.0,2022-2023,czech-republic,extraliga
2023-02-24 18:00:00,Olomouc,Mountfield HK,0.0,4.0,2022-2023,czech-republic,extraliga
2023-02-24 18:00:00,Pardubice,Kometa Brno,1.0,3.0,2022-2023,czech-republic,extraliga
2023-02-24 17:30:00,Mlada Boleslav,Litvinov,1.0,2.0,2022-2023,czech-republic,extraliga
2023-02-24 17:30:00,Plzen,Trinec,4.0,5.0,2022-2023,czech-republic,extraliga
2023-02-24 17:30:00,Vitkovice,Karlovy Vary,6.0,1.0,2022-2023,czech-republic,extraliga
2023-02-22 17:30:00,Ceske Budejovice,Liberec,3.0,4.0,2022-2023,czech-republic,extraliga
2023-02-19 17:20:00,Kladno,Olomouc,4.0,5.0,2022-2023,czech-republic,extraliga
2023-02-19 17:00:00,Kometa Brno,Mlada Boleslav,1.0,4.0,2022-2023,czech-republic,extraliga
2023-02-19 16:00:00,Liberec,Sparta Prague,2.0,1.0,2022-2023,czech-republic,extraliga
2023-02-19 16:00:00,Mountfield HK,Plzen,2.0,1.0,2022-2023,czech-republic,extraliga
2023-02-19 16:00:00,Vitkovice,Ceske Budejovice,1.0,4.0,2022-2023,czech-republic,extraliga
2023-02-19 15:30:00,Karlovy Vary,Pardubice,0.0,5.0,2022-2023,czech-republic,extraliga
2023-02-19 15:30:00,Litvinov,Trinec,4.0,3.0,2022-2023,czech-republic,extraliga
2023-02-17 18:00:00,Olomouc,Liberec,2.0,3.0,2022-2023,czech-republic,extraliga
2023-02-17 18:00:00,Pardubice,Vitkovice,1.0,4.0,2022-2023,czech-republic,extraliga
2023-02-17 17:30:00,Ceske Budejovice,Sparta Prague,3.0,4.0,2022-2023,czech-republic,extraliga
2023-02-17 17:30:00,Litvinov,Kometa Brno,3.0,2.0,2022-2023,czech-republic,extraliga
2023-02-17 17:30:00,Mlada Boleslav,Karlovy Vary,0.0,2.0,2022-2023,czech-republic,extraliga
2023-02-17 17:30:00,Plzen,Kladno,0.0,3.0,2022-2023,czech-republic,extraliga
2023-02-17 17:00:00,Trinec,Mountfield HK,1.0,2.0,2022-2023,czech-republic,extraliga
2023-02-15 18:00:00,Kladno,Mlada Boleslav,2.0,1.0,2022-2023,czech-republic,extraliga
2023-02-15 18:00:00,Kometa Brno,Plzen,3.0,0.0,2022-2023,czech-republic,extraliga
2023-02-15 18:00:00,Liberec,Trinec,3.0,2.0,2022-2023,czech-republic,extraliga
2023-02-15 18:00:00,Mountfield HK,Litvinov,3.0,0.0,2022-2023,czech-republic,extraliga
2023-02-15 17:30:00,Ceske Budejovice,Pardubice,3.0,7.0,2022-2023,czech-republic,extraliga
2023-02-15 17:30:00,Karlovy Vary,Sparta Prague,3.0,6.0,2022-2023,czech-republic,extraliga
2023-02-15 17:30:00,Vitkovice,Olomouc,3.0,1.0,2022-2023,czech-republic,extraliga
2023-02-13 17:30:00,Mountfield HK,Trinec,4.0,3.0,2022-2023,czech-republic,extraliga
2023-02-05 17:00:00,Olomouc,Ceske Budejovice,3.0,2.0,2022-2023,czech-republic,extraliga
2023-02-05 16:30:00,Litvinov,Karlovy Vary,1.0,2.0,2022-2023,czech-republic,extraliga
2023-02-05 16:30:00,Plzen,Liberec,2.0,4.0,2022-2023,czech-republic,extraliga
2023-02-05 16:00:00,Mlada Boleslav,Vitkovice,2.0,3.0,2022-2023,czech-republic,extraliga
2023-02-05 16:00:00,Mountfield HK,Kometa Brno,1.0,0.0,2022-2023,czech-republic,extraliga
2023-02-05 15:00:00,Trinec,Kladno,5.0,4.0,2022-2023,czech-republic,extraliga
2023-02-05 14:45:00,Sparta Prague,Pardubice,4.0,2.0,2022-2023,czech-republic,extraliga
2023-02-03 18:00:00,Kladno,Litvinov,5.0,2.0,2022-2023,czech-republic,extraliga
2023-02-03 18:00:00,Kometa Brno,Trinec,5.0,1.0,2022-2023,czech-republic,extraliga
2023-02-03 18:00:00,Liberec,Mlada Boleslav,4.0,3.0,2022-2023,czech-republic,extraliga
2023-02-03 18:00:00,Pardubice,Olomouc,4.0,1.0,2022-2023,czech-republic,extraliga
2023-02-03 17:30:00,Karlovy Vary,Plzen,3.0,1.0,2022-2023,czech-republic,extraliga
2023-02-03 17:30:00,Vitkovice,Sparta Prague,3.0,4.0,2022-2023,czech-republic,extraliga
2023-02-02 17:30:00,Ceske Budejovice,Mountfield HK,2.0,3.0,2022-2023,czech-republic,extraliga
2023-01-31 18:30:00,Sparta Prague,Karlovy Vary,6.0,3.0,2022-2023,czech-republic,extraliga
2023-01-31 17:30:00,Vitkovice,Trinec,1.0,2.0,2022-2023,czech-republic,extraliga
2023-01-29 17:30:00,Mlada Boleslav,Pardubice,3.0,5.0,2022-2023,czech-republic,extraliga
2023-01-29 17:20:00,Plzen,Sparta Prague,4.0,3.0,2022-2023,czech-republic,extraliga
2023-01-29 17:00:00,Kometa Brno,Liberec,3.0,0.0,2022-2023,czech-republic,extraliga
2023-01-29 17:00:00,Olomouc,Karlovy Vary,3.0,4.0,2022-2023,czech-republic,extraliga
2023-01-29 16:00:00,Mountfield HK,Kladno,4.0,2.0,2022-2023,czech-republic,extraliga
2023-01-29 15:30:00,Litvinov,Ceske Budejovice,1.0,0.0,2022-2023,czech-republic,extraliga
2023-01-27 18:00:00,Kladno,Kometa Brno,0.0,3.0,2022-2023,czech-republic,extraliga
2023-01-27 18:00:00,Liberec,Litvinov,5.0,1.0,2022-2023,czech-republic,extraliga
2023-01-27 17:30:00,Ceske Budejovice,Mlada Boleslav,5.0,4.0,2022-2023,czech-republic,extraliga
2023-01-27 17:30:00,Karlovy Vary,Trinec,4.0,1.0,2022-2023,czech-republic,extraliga
2023-01-27 17:30:00,Vitkovice,Mountfield HK,2.0,5.0,2022-2023,czech-republic,extraliga
2023-01-26 18:15:00,Pardubice,Plzen,4.0,3.0,2022-2023,czech-republic,extraliga
2023-01-25 18:30:00,Sparta Prague,Litvinov,3.0,2.0,2022-2023,czech-republic,extraliga
2023-01-24 18:00:00,Kladno,Liberec,3.0,2.0,2022-2023,czech-republic,extraliga
2023-01-24 18:00:00,Kometa Brno,Ceske Budejovice,5.0,2.0,2022-2023,czech-republic,extraliga
2023-01-24 18:00:00,Mountfield HK,Karlovy Vary,3.0,0.0,2022-2023,czech-republic,extraliga
2023-01-24 17:20:00,Mlada Boleslav,Olomouc,4.0,0.0,2022-2023,czech-republic,extraliga
2023-01-24 17:00:00,Trinec,Pardubice,0.0,4.0,2022-2023,czech-republic,extraliga
2023-01-22 17:20:00,Ceske Budejovice,Trinec,3.0,2.0,2022-2023,czech-republic,extraliga
2023-01-22 17:00:00,Olomouc,Plzen,3.0,2.0,2022-2023,czech-republic,extraliga
2023-01-22 17:00:00,Pardubice,Kladno,4.0,2.0,2022-2023,czech-republic,extraliga
2023-01-22 16:00:00,Liberec,Mountfield HK,3.0,1.0,2022-2023,czech-republic,extraliga
2023-01-22 16:00:00,Sparta Prague,Mlada Boleslav,4.0,1.0,2022-2023,czech-republic,extraliga
2023-01-22 16:00:00,Vitkovice,Litvinov,2.0,3.0,2022-2023,czech-republic,extraliga
2023-01-22 15:30:00,Karlovy Vary,Kometa Brno,5.0,4.0,2022-2023,czech-republic,extraliga
2023-01-20 18:30:00,Sparta Prague,Kometa Brno,5.0,3.0,2022-2023,czech-republic,extraliga
2023-01-20 18:00:00,Olomouc,Litvinov,1.0,8.0,2022-2023,czech-republic,extraliga
2023-01-20 18:00:00,Pardubice,Mountfield HK,4.0,1.0,2022-2023,czech-republic,extraliga
2023-01-20 17:30:00,Ceske Budejovice,Plzen,3.0,4.0,2022-2023,czech-republic,extraliga
2023-01-20 17:30:00,Karlovy Vary,Kladno,4.0,2.0,2022-2023,czech-republic,extraliga
2023-01-20 17:30:00,Mlada Boleslav,Trinec,1.0,0.0,2022-2023,czech-republic,extraliga
2023-01-20 17:30:00,Vitkovice,Liberec,2.0,0.0,2022-2023,czech-republic,extraliga
2023-01-18 18:00:00,Kladno,Pardubice,1.0,4.0,2022-2023,czech-republic,extraliga
2023-01-17 18:30:00,Sparta Prague,Ceske Budejovice,5.0,0.0,2022-2023,czech-republic,extraliga
