DT,Home,Away,Home_points,Away_points,season,country,league
2023-04-22 03:30:00,Minnesota Timberwolves,Denver Nuggets,111.0,120.0,2022-2023,usa,nba
2023-04-22 02:30:00,New York Knicks,Cleveland Cavaliers,99.0,79.0,2022-2023,usa,nba
2023-04-22 01:00:00,Atlanta Hawks,Boston Celtics,130.0,122.0,2022-2023,usa,nba
2023-04-21 04:30:00,Los Angeles Clippers,Phoenix Suns,124.0,129.0,2022-2023,usa,nba
2023-04-21 04:00:00,Golden State Warriors,Sacramento Kings,114.0,97.0,2022-2023,usa,nba
2023-04-21 01:30:00,Brooklyn Nets,Philadelphia 76ers,97.0,102.0,2022-2023,usa,nba
2023-04-20 04:00:00,Denver Nuggets,Minnesota Timberwolves,122.0,113.0,2022-2023,usa,nba
2023-04-20 03:00:00,Milwaukee Bucks,Miami Heat,138.0,122.0,2022-2023,usa,nba
2023-04-20 01:30:00,Memphis Grizzlies,Los Angeles Lakers,103.0,93.0,2022-2023,usa,nba
2023-04-19 04:00:00,Phoenix Suns,Los Angeles Clippers,123.0,109.0,2022-2023,usa,nba
2023-04-19 01:30:00,Cleveland Cavaliers,New York Knicks,107.0,90.0,2022-2023,usa,nba
2023-04-19 01:00:00,Boston Celtics,Atlanta Hawks,119.0,106.0,2022-2023,usa,nba
2023-04-18 04:00:00,Sacramento Kings,Golden State Warriors,114.0,106.0,2022-2023,usa,nba
2023-04-18 01:30:00,Philadelphia 76ers,Brooklyn Nets,96.0,84.0,2022-2023,usa,nba
2023-04-17 04:30:00,Denver Nuggets,Minnesota Timberwolves,109.0,80.0,2022-2023,usa,nba
2023-04-17 02:00:00,Phoenix Suns,Los Angeles Clippers,110.0,115.0,2022-2023,usa,nba
2023-04-16 23:30:00,Milwaukee Bucks,Miami Heat,117.0,130.0,2022-2023,usa,nba
2023-04-16 21:00:00,Memphis Grizzlies,Los Angeles Lakers,112.0,128.0,2022-2023,usa,nba
2023-04-16 02:30:00,Sacramento Kings,Golden State Warriors,126.0,123.0,2022-2023,usa,nba
2023-04-16 00:00:00,Cleveland Cavaliers,New York Knicks,97.0,101.0,2022-2023,usa,nba
2023-04-15 21:30:00,Boston Celtics,Atlanta Hawks,112.0,99.0,2022-2023,usa,nba
2023-04-15 19:00:00,Philadelphia 76ers,Brooklyn Nets,121.0,101.0,2022-2023,usa,nba
2023-04-15 03:50:00,Minnesota Timberwolves,Oklahoma City Thunder,120.0,95.0,2022-2023,usa,nba
2023-04-15 01:10:00,Miami Heat,Chicago Bulls,102.0,91.0,2022-2023,usa,nba
2023-04-13 03:30:00,New Orleans Pelicans,Oklahoma City Thunder,118.0,123.0,2022-2023,usa,nba
2023-04-13 01:00:00,Toronto Raptors,Chicago Bulls,105.0,109.0,2022-2023,usa,nba
2023-04-12 04:00:00,Los Angeles Lakers,Minnesota Timberwolves,108.0,102.0,2022-2023,usa,nba
2023-04-12 01:30:00,Miami Heat,Atlanta Hawks,105.0,116.0,2022-2023,usa,nba
2023-04-09 21:30:00,Dallas Mavericks,San Antonio Spurs,117.0,138.0,2022-2023,usa,nba
2023-04-09 21:30:00,Denver Nuggets,Sacramento Kings,109.0,95.0,2022-2023,usa,nba
2023-04-09 21:30:00,Los Angeles Lakers,Utah Jazz,128.0,117.0,2022-2023,usa,nba
2023-04-09 21:30:00,Minnesota Timberwolves,New Orleans Pelicans,113.0,108.0,2022-2023,usa,nba
2023-04-09 21:30:00,Oklahoma City Thunder,Memphis Grizzlies,115.0,100.0,2022-2023,usa,nba
2023-04-09 21:30:00,Phoenix Suns,Los Angeles Clippers,114.0,119.0,2022-2023,usa,nba
2023-04-09 21:30:00,Portland Trail Blazers,Golden State Warriors,101.0,157.0,2022-2023,usa,nba
2023-04-09 19:00:00,Boston Celtics,Atlanta Hawks,120.0,114.0,2022-2023,usa,nba
2023-04-09 19:00:00,Brooklyn Nets,Philadelphia 76ers,105.0,134.0,2022-2023,usa,nba
2023-04-09 19:00:00,Chicago Bulls,Detroit Pistons,103.0,81.0,2022-2023,usa,nba
2023-04-09 19:00:00,Cleveland Cavaliers,Charlotte Hornets,95.0,106.0,2022-2023,usa,nba
2023-04-09 19:00:00,Miami Heat,Orlando Magic,123.0,110.0,2022-2023,usa,nba
2023-04-09 19:00:00,New York Knicks,Indiana Pacers,136.0,141.0,2022-2023,usa,nba
2023-04-09 19:00:00,Toronto Raptors,Milwaukee Bucks,121.0,105.0,2022-2023,usa,nba
2023-04-09 19:00:00,Washington Wizards,Houston Rockets,109.0,114.0,2022-2023,usa,nba
2023-04-08 22:00:00,Los Angeles Clippers,Portland Trail Blazers,136.0,125.0,2022-2023,usa,nba
2023-04-08 22:00:00,San Antonio Spurs,Minnesota Timberwolves,131.0,151.0,2022-2023,usa,nba
2023-04-08 21:30:00,Utah Jazz,Denver Nuggets,118.0,114.0,2022-2023,usa,nba
2023-04-08 04:30:00,Los Angeles Lakers,Phoenix Suns,121.0,107.0,2022-2023,usa,nba
2023-04-08 04:00:00,Sacramento Kings,Golden State Warriors,97.0,119.0,2022-2023,usa,nba
2023-04-08 02:30:00,Dallas Mavericks,Chicago Bulls,112.0,115.0,2022-2023,usa,nba
2023-04-08 02:00:00,Milwaukee Bucks,Memphis Grizzlies,114.0,137.0,2022-2023,usa,nba
2023-04-08 02:00:00,New Orleans Pelicans,New York Knicks,113.0,105.0,2022-2023,usa,nba
2023-04-08 01:30:00,Atlanta Hawks,Philadelphia 76ers,131.0,136.0,2022-2023,usa,nba
2023-04-08 01:30:00,Boston Celtics,Toronto Raptors,121.0,102.0,2022-2023,usa,nba
2023-04-08 01:30:00,Brooklyn Nets,Orlando Magic,101.0,84.0,2022-2023,usa,nba
2023-04-08 01:00:00,Charlotte Hornets,Houston Rockets,109.0,112.0,2022-2023,usa,nba
2023-04-08 01:00:00,Indiana Pacers,Detroit Pistons,115.0,122.0,2022-2023,usa,nba
2023-04-08 01:00:00,Washington Wizards,Miami Heat,114.0,108.0,2022-2023,usa,nba
2023-04-07 04:00:00,Phoenix Suns,Denver Nuggets,119.0,115.0,2022-2023,usa,nba
